strain	date	country	continent
LC171327.1	2016-07-20	Japan	Asia
LC190723.1	2016-05-20	Japan	Asia
LC191864.1	2016-04-21	Japan	Asia
LC217862.1	2016-09-30	Malaysia	Asia
LC218742.1	2016-09-12	Japan	Asia
LC219720.1	2016-11-22	Japan	Asia
LC227589.1			
LC229347.1	2016-09-30	Malaysia	Asia
LC322991.1	2016-09-01	Malaysia	Asia
LC322992.1	2016-09-01	Malaysia	Asia
LC331561.1	2016	Japan	Asia
LC369584.1	2017	Japan	Asia
LC707380.1	2021-06-17	Gabon	Africa
LC707381.1	2021-06-17	Gabon	Africa
LF621701.1			
LG018115.1			
LP994734.1			
LP994735.1			
LP994736.1			
LP994737.1			
LQ723816.1			
LQ729864.1			
LQ729865.1			
LQ729866.1			
LQ729867.1			
LQ729868.1			
LQ729869.1			
LQ729870.1			
LQ729871.1			
LQ729872.1			
LQ729873.1			
LQ729874.1			
LQ729875.1			
LQ729876.1			
LQ729877.1			
LQ729878.1			
LQ729881.1			
LQ868271.1			
LQ868272.1			
LQ868273.1			
LQ868274.1			
LQ868275.1			
LQ868276.1			
LQ868277.1			
LQ868278.1			
LQ868279.1			
LQ868280.1			
LQ868281.1			
LQ868282.1			
LQ868283.1			
LQ868284.1			
LQ868285.1			
LQ868290.1			
LQ868291.1			
LQ868292.1			
LQ868293.1			
LQ868294.1			
LQ868295.1			
LQ868296.1			
LQ868297.1			
LQ868298.1			
LQ868299.1			
LQ868300.1			
LQ868301.1			
LQ868302.1			
LQ868303.1			
LQ868304.1			
LR792671.1	2016-06-21		
LY683291.1			
LY683294.1			
LY720049.1			
LY720057.1			
LZ221254.1			
LZ221255.1			
LZ221256.1			
LZ221257.1			
LZ221258.1			
LZ221259.1			
MA142006.1			
MA847343.1			
MA847344.1			
MF036115.1	2016-11-02	China	Asia
MF048802.1	2016-10-10	Brazil	South America
MF048803.1	2016-11-11	Brazil	South America
MF048804.1	2016-03-05	Brazil	South America
MF048805.1	2016-03-05	Brazil	South America
MF048806.1	2016-07-07	Brazil	South America
MF048807.1	2016-06-05	Brazil	South America
MF048808.1	2016-06-05	Brazil	South America
MF073358.1	2015-06-01	Brazil	South America
MF073359.1	2015-03-01	Brazil	South America
MF077458.1	2016-11-11	Brazil	South America
MF077459.1	2016-06-05	Brazil	South America
MF077460.1	2016-03-05	Brazil	South America
MF077461.1	2016-03-05	Brazil	South America
MF077462.1	2016-07-07	Brazil	South America
MF077463.1	2016-10-10	Brazil	South America
MF098764.1	2016-05-11	Russia	Europe
MF098765.1	2016-05-23	Russia	Europe
MF098766.1	2016-05-31	Russia	Europe
MF098767.1	2016-07-25	Russia	Europe
MF098768.1	2016-08-25	Russia	Europe
MF098769.1	2016-08-25	Russia	Europe
MF098770.1	2016-11-09	Russia	Europe
MF098771.1	2017-01-30	Russia	Europe
MF099651.1	2016-08	China	Asia
MF159531.1	2017-04-19	USA	North America
MF167360.1	2016-02-26	China	Asia
MF173409.1	2016-11-14	India	Asia
MF173410.1	2016-11-14	India	Asia
