strain	date	country	continent
PQ634555.1	2024-04-09	Bolivia	South America
PQ634556.1	2024-04-12	Bolivia	South America
PQ634557.1	2024-04-14	Bolivia	South America
PQ634558.1	2024-04-10	Bolivia	South America
PQ634559.1	2024-04-10	Bolivia	South America
PQ634560.1	2024-04-12	Bolivia	South America
PQ634561.1	2024-04-16	Bolivia	South America
PQ634562.1	2024-04-11	Bolivia	South America
PQ634563.1	2024-04-15	Bolivia	South America
PQ634564.1	2024-04-06	Bolivia	South America
PQ634565.1	2024-04-15	Bolivia	South America
PQ634566.1	2024-04-16	Bolivia	South America
PQ634567.1	2024-04-22	Bolivia	South America
PQ634568.1	2024-03-29	Bolivia	South America
PQ634569.1	2024-01-26	Bolivia	South America
PQ683506.1		Peru	South America
PQ683507.1		Peru	South America
PQ683508.1		Peru	South America
PQ683509.1		Peru	South America
PQ683510.1		Peru	South America
PQ683511.1		Peru	South America
PQ683512.1		Peru	South America
PQ683513.1		Peru	South America
PQ683514.1		Peru	South America
PQ754511.1	2024-09-04	Brazil	South America
PQ754512.1	2024-09-04	Brazil	South America
PQ754513.1	2024-09-04	Brazil	South America
PQ754529.1	2024-09-16	Brazil	South America
PQ754530.1	2024-09-16	Brazil	South America
PQ754531.1	2024-09-16	Brazil	South America
PQ754562.1	2024-09-30	Brazil	South America
PQ754563.1	2024-09-30	Brazil	South America
PQ754564.1	2024-09-30	Brazil	South America
PQ754571.1	2024-10-02	Brazil	South America
PQ754572.1	2024-10-02	Brazil	South America
PQ754573.1	2024-10-02	Brazil	South America
PQ754574.1	2024-10-03	Brazil	South America
PQ754575.1	2024-10-03	Brazil	South America
PQ754576.1	2024-10-03	Brazil	South America
PQ754604.1	2024-10-09	Brazil	South America
PQ754605.1	2024-10-09	Brazil	South America
PQ754606.1	2024-10-09	Brazil	South America
PQ754664.1	2024-10-22	Brazil	South America
PQ754665.1	2024-10-22	Brazil	South America
PQ754666.1	2024-10-22	Brazil	South America
PQ754670.1	2024-10-23	Brazil	South America
PQ754671.1	2024-10-23	Brazil	South America
PQ754672.1	2024-10-23	Brazil	South America
PQ754685.1	2024-10-25	Brazil	South America
PQ754686.1	2024-10-25	Brazil	South America
PQ754687.1	2024-10-25	Brazil	South America
PQ754691.1	2024-10-25	Brazil	South America
PQ754692.1	2024-10-25	Brazil	South America
PQ754693.1	2024-10-25	Brazil	South America
PQ754694.1	2024-10-29	Brazil	South America
PQ754695.1	2024-10-29	Brazil	South America
PQ754696.1	2024-10-29	Brazil	South America
PQ754715.1	2024-11-04	Brazil	South America
PQ754716.1	2024-11-04	Brazil	South America
PQ754717.1	2024-11-04	Brazil	South America
PQ754730.1	2024-11-05	Brazil	South America
PQ754731.1	2024-11-05	Brazil	South America
PQ754732.1	2024-11-05	Brazil	South America
PQ754733.1	2024-11-05	Brazil	South America
PQ754734.1	2024-11-05	Brazil	South America
PQ754735.1	2024-11-05	Brazil	South America
PQ754742.1	2024-11-06	Brazil	South America
PQ754743.1	2024-11-06	Brazil	South America
PQ754744.1	2024-11-06	Brazil	South America
PQ754748.1	2024-11-06	Brazil	South America
PQ754749.1	2024-11-06	Brazil	South America
PQ754750.1	2024-11-06	Brazil	South America
PQ754751.1	2024-11-05	Brazil	South America
PQ754752.1	2024-11-05	Brazil	South America
PQ754753.1	2024-11-05	Brazil	South America
PQ754757.1	2024-11-06	Brazil	South America
PQ754758.1	2024-11-06	Brazil	South America
PQ754759.1	2024-11-06	Brazil	South America
PQ754766.1	2024-11-06	Brazil	South America
PQ754767.1	2024-11-06	Brazil	South America
PQ754768.1	2024-11-06	Brazil	South America
PQ754784.1	2024-11-08	Brazil	South America
PQ754785.1	2024-11-08	Brazil	South America
PQ754786.1	2024-11-08	Brazil	South America
PQ801464.1	1991	Brazil	South America
PQ801465.1	1991	Brazil	South America
PQ801466.1	1991	Brazil	South America
PQ863772.1	2024	USA	North America
PQ863773.1	2024	USA	North America
PQ863774.1	2024	USA	North America
PV254731.1	2024-07-19	Brazil	South America
PV254732.1	2024-07-23	Brazil	South America
PV254733.1	2024-07-23	Brazil	South America
PV254734.1	2024-07-23	Brazil	South America
PV254735.1	2024-07-23	Brazil	South America
PV254736.1	2024-07-11	Brazil	South America
PV254737.1	2024-07-13	Brazil	South America
PV254738.1	2024-07-12	Brazil	South America
PV254739.1	2024-07-13	Brazil	South America
PV254740.1	2024-07-10	Brazil	South America
PV254741.1	2024-07-12	Brazil	South America
PV254742.1	2024-07-15	Brazil	South America
PV254743.1	2024-07-15	Brazil	South America
PV254744.1	2024-07-15	Brazil	South America
PV254745.1	2024-07-15	Brazil	South America
PV254746.1	2024-07-17	Brazil	South America
PV254747.1	2024-07-24	Brazil	South America
PV254748.1	2024-07-24	Brazil	South America
PV254749.1	2024-07-25	Brazil	South America
PV254750.1	2024-07-25	Brazil	South America
PV254751.1	2024-07-27	Brazil	South America
PV254752.1	2024-07-25	Brazil	South America
PV254753.1	2024-07-25	Brazil	South America
PV254754.1	2024-07-25	Brazil	South America
PV254755.1	2024-07-12	Brazil	South America
PV254756.1	2024-07-13	Brazil	South America
PV254757.1	2024-07-15	Brazil	South America
PV254758.1	2024-07-15	Brazil	South America
PV254759.1	2024-07-24	Brazil	South America
PV254760.1	2024-08-13	Brazil	South America
PV254761.1	2024-08-08	Brazil	South America
PV254762.1	2024-07-30	Brazil	South America
PV254763.1	2024-08-15	Brazil	South America
PV254764.1	2024-08-02	Brazil	South America
PV254765.1	2024-08-11	Brazil	South America
PV254766.1	2024-08-12	Brazil	South America
PV254767.1	2024-07-25	Brazil	South America
PV254768.1	2024-07-19	Brazil	South America
PV254769.1	2024-07-23	Brazil	South America
PV254770.1	2024-07-23	Brazil	South America
PV254771.1	2024-07-23	Brazil	South America
PV254772.1	2024-07-23	Brazil	South America
PV254773.1	2024-07-11	Brazil	South America
PV254774.1	2024-07-13	Brazil	South America
PV254775.1	2024-07-12	Brazil	South America
PV254776.1	2024-07-13	Brazil	South America
PV254777.1	2024-07-10	Brazil	South America
PV254778.1	2024-07-12	Brazil	South America
PV254779.1	2024-07-15	Brazil	South America
PV254780.1	2024-07-15	Brazil	South America
PV254781.1	2024-07-15	Brazil	South America
PV254782.1	2024-07-15	Brazil	South America
PV254783.1	2024-07-17	Brazil	South America
PV254784.1	2024-07-24	Brazil	South America
PV254785.1	2024-07-24	Brazil	South America
PV254786.1	2024-07-25	Brazil	South America
PV254787.1	2024-07-25	Brazil	South America
PV254788.1	2024-07-27	Brazil	South America
PV254789.1	2024-07-25	Brazil	South America
PV254790.1	2024-07-25	Brazil	South America
PV254791.1	2024-07-25	Brazil	South America
PV254792.1	2024-07-12	Brazil	South America
PV254793.1	2024-07-13	Brazil	South America
PV254794.1	2024-07-15	Brazil	South America
PV254795.1	2024-07-15	Brazil	South America
PV254796.1	2024-07-24	Brazil	South America
PV254797.1	2024-08-13	Brazil	South America
PV254798.1	2024-08-08	Brazil	South America
PV254799.1	2024-07-30	Brazil	South America
PV254800.1	2024-08-15	Brazil	South America
PV254801.1	2024-08-02	Brazil	South America
PV254802.1	2024-08-11	Brazil	South America
PV254803.1	2024-08-12	Brazil	South America
PV254804.1	2024-07-25	Brazil	South America
PV335275.1	2024-07-19	Brazil	South America
PV335276.1	2024-07-23	Brazil	South America
PV335277.1	2024-07-23	Brazil	South America
PV335278.1	2024-07-23	Brazil	South America
PV335279.1	2024-07-23	Brazil	South America
PV335280.1	2024-07-11	Brazil	South America
PV335281.1	2024-07-13	Brazil	South America
PV335282.1	2024-07-12	Brazil	South America
PV335283.1	2024-07-13	Brazil	South America
PV335284.1	2024-07-10	Brazil	South America
PV335285.1	2024-07-12	Brazil	South America
PV335286.1	2024-07-15	Brazil	South America
PV335287.1	2024-07-15	Brazil	South America
PV335288.1	2024-07-15	Brazil	South America
PV335289.1	2024-07-15	Brazil	South America
PV335290.1	2024-07-17	Brazil	South America
PV335291.1	2024-07-24	Brazil	South America
PV335292.1	2024-07-24	Brazil	South America
PV335293.1	2024-07-25	Brazil	South America
PV335294.1	2024-07-25	Brazil	South America
PV335295.1	2024-07-27	Brazil	South America
PV335296.1	2024-07-25	Brazil	South America
PV335297.1	2024-07-25	Brazil	South America
PV335298.1	2024-07-25	Brazil	South America
PV335299.1	2024-07-12	Brazil	South America
PV335300.1	2024-07-13	Brazil	South America
PV335301.1	2024-07-15	Brazil	South America
PV335302.1	2024-07-15	Brazil	South America
PV335303.1	2024-07-24	Brazil	South America
PV335304.1	2024-08-13	Brazil	South America
